id;label;icon;sort_order;created_at;updated_at
dabeb090-5a0d-4db9-9895-342ae1e0d49c;Alimentação;🍔;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
b2203df8-4608-4a50-87b2-43fa11c262da;Transporte;🚗;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
d154e939-73e3-44dc-97ed-e1961ad5ebc2;Moradia;🏠;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
e72c5513-72bc-45d3-8569-6021333301cc;Saúde;💊;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
f59b5082-cce4-46f1-9340-99f50255b29a;Educação;📚;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
e4e889ff-dc2a-49fd-b705-44d0ef54ef1e;Lazer;🎮;6;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
9ba4e541-8c96-4b45-bf7a-3f154702a71e;Compras;🛍️;7;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
eec12493-6158-4aaa-951c-d3de672341de;Assinaturas;📱;8;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
a4138a3c-2dbd-4055-b75e-ca2f03caf72d;Serviços;🔧;9;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
40cef507-d4aa-459c-ae5f-3b24a05b31fc;Pets;🐾;10;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
70bd18de-9477-4865-8db1-58e9b8fc7c01;Impostos/Taxas;🏛️;11;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
a744b63b-1c38-4006-bae2-5ddabeab05cd;Dívidas/Parcelas;📋;12;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
47ce8314-bffd-4a13-84b0-05ef8eb0c2b8;Transferências;🔄;13;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
0987a96d-3d98-4eda-ba5a-9d0993dd8e26;Receita;💰;14;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
68e04a4f-f0b3-428a-9aa4-c2b075f5ddec;Outros;📄;15;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
