id;icon;name;category;date;amount;type;card;created_at;updated_at;bank_account_id;total_installments;installment_number;installment_group_id
697eb525-6deb-4b67-af7f-7817d464417a;💰;Pix recebido TERUKO NOMADA DE OLIVEIRA;Receita;04/03/2026;1440;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
09809aa2-34be-4b68-befe-23c6baafde00;🍔;DÃ©bito por dÃ­vida Pagamento mÃ­nimo da fatura CartÃ£o Mercado Pago;Alimentação;04/03/2026;306.22;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
0ce1c71b-568a-4f63-b6a2-9e8f4b76336f;💰;Pix recebido TERUKO NOMADA DE OLIVEIRA;Receita;07/03/2026;260;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
c5b1e00a-8bd5-4603-ac56-5d78cb80dd3a;📄;TransferÃªncia recebida WANDERLEY JUNIOR N OLIVEIRA;Outros;09/03/2026;2791.89;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
4cc6927d-ff3b-4729-a019-3c852dc8f9ce;📈;Rendimentos;Rendimentos;10/03/2026;1.36;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
d93e9e6f-18c2-450e-82cf-3c5cd9a3d9e6;📈;Venda de Meli DÃ³lar;Rendimentos;10/03/2026;30.98;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
eab3a263-e5f3-41f2-b045-f16de485fb8d;🔄;Pix enviado Wanderley Junior Nomada de Oliveira;Transferências;10/03/2026;3084.23;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
fa6d9c74-e938-4a34-8a1f-010484e11c79;💰;Reembolso de transferÃªncia enviada Wanderley Junior Nomada de Oliveira;Receita;10/03/2026;3084.23;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
6cdc0578-3432-4e32-95ab-1c327583b613;📈;Pagamento com QR Pix PORTOSEG SA CREDITO FINANCIAMENTO E INVESTIMENTO;Rendimentos;10/03/2026;3084.23;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
26eb909d-9026-4b26-93d3-f7fb398bdf2c;💰;Pix recebido TERUKO NOMADA DE OLIVEIRA;Receita;18/03/2026;560;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
4068f8e6-7a57-472c-a8d6-070146533e1f;📈;Pagamento com QR Pix PORTOSEG SA CREDITO FINANCIAMENTO E INVESTIMENTO;Rendimentos;18/03/2026;560;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
bbaea3ec-f531-4acc-bee7-de90d660a1d8;💰;Pix recebido WANDERLEY DE OLIVEIRA;Receita;24/03/2026;155;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
86a8f861-9818-4d82-bf70-95f0ee6017be;🛒;Pagamento com QR Pix SHPP BRASIL INSTITUICAO DE PAGAMENTO E SERVICOS DE PAGAMENTOS...;Compras Online;24/03/2026;145.02;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
83e129b3-8ab7-4ab1-bb30-625cce5f7c02;📈;Rendimentos;Rendimentos;25/03/2026;0.01;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
0efe2976-fdb6-4891-9c5d-ce909be63fd3;📈;Rendimentos;Rendimentos;26/03/2026;0.01;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
0f896aac-1e5e-41dc-ad8e-5f30ca4d1d2d;💰;Pix recebido TERUKO NOMADA DE OLIVEIRA;Receita;27/03/2026;580;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
a71850bc-bb39-4781-bd77-1fe4aa02582e;🔄;Pagamento com QR Pix 99 TECNOLOGIA LTDA;Transferências;28/03/2026;30;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
081eecb9-0803-4df7-8afa-c3534eea7b38;🔄;Pagamento com QR Pix 51.535.189 CAIQUE POLON;Transferências;28/03/2026;35;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
8d4b2f21-9c2e-4397-a564-66da4c1c3fc7;🔄;Pagamento com QR Pix EMPREENDIMENTOS PAGUE MENOS SA;Transferências;29/03/2026;165.18;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
27449c35-a0a7-407b-ad8a-4d95ea17469b;🛒;Pagamento com QR Pix PAGALEVE INSTITUICAO DE PAGAMENTO LTDA;Compras Online;29/03/2026;70.52;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
2a30b8f2-20f0-4236-a02b-e65ef5d5a920;💰;Pix recebido WANDERLEY JUNIOR NOMADA;Receita;30/03/2026;34.09;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
e5e9e37d-ab55-41ca-8658-b7835a327c28;📈;Rendimentos;Rendimentos;31/03/2026;0.01;income;;2026-04-16 11:01:26.531066+00;2026-04-16 11:01:26.531066+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
cfed2406-464d-445b-8474-3978704aec9a;🛒;Supermercado Pão de Açúcar;Alimentação > Supermercado;15 abr;312.8;expense;Nubank;2026-04-16 18:56:12.259379+00;2026-04-16 23:01:43.196422+00;;1;1;
8dca974b-fd1e-4dc4-b29e-4d782ff3ba46;⛽;Posto de gasolina;Transporte;16 abr;250;expense;Mercado Pago;2026-04-16 12:48:24.739666+00;2026-04-16 12:51:20.615725+00;;1;1;
519754fa-6272-49aa-a532-e41940b69c36;🛒;Supermercado Tauste;Alimentação;16 abr;100;expense;;2026-04-16 12:47:51.759116+00;2026-04-16 12:52:50.507056+00;5a520588-7df8-45fc-903e-19f884c8d154;1;1;
96ba2e29-437e-4fa1-b7c7-4b580a5799de;🚗;Auto Mecanica (1/8);Transporte;16 abr;312.5;expense;Banco do brasil;2026-04-16 13:56:24.11459+00;2026-04-16 13:56:24.11459+00;;1;1;
87913421-0dca-4fbd-9cf9-ccdf26480e70;🚗;Auto Mecanica (2/8);Transporte;16 mai;312.5;expense;Banco do brasil;2026-04-16 13:56:24.11459+00;2026-04-16 13:56:24.11459+00;;1;1;
c64b9293-a567-4e77-81c9-c7f8e22241e9;🚗;Auto Mecanica (3/8);Transporte;16 jun;312.5;expense;Banco do brasil;2026-04-16 13:56:24.11459+00;2026-04-16 13:56:24.11459+00;;1;1;
bf248b0a-2f53-43f6-9c63-f916ac939362;🚗;Auto Mecanica (4/8);Transporte;16 jul;312.5;expense;Banco do brasil;2026-04-16 13:56:24.11459+00;2026-04-16 13:56:24.11459+00;;1;1;
5d9e21b1-6626-413b-abb3-1005c7d688a5;🚗;Auto Mecanica (5/8);Transporte;16 ago;312.5;expense;Banco do brasil;2026-04-16 13:56:24.11459+00;2026-04-16 13:56:24.11459+00;;1;1;
2a0cb9de-da7d-4b64-9613-489fac2ed7b3;🚗;Auto Mecanica (6/8);Transporte;16 set;312.5;expense;Banco do brasil;2026-04-16 13:56:24.11459+00;2026-04-16 13:56:24.11459+00;;1;1;
67e85df2-a909-4664-90e4-d6d7da0882de;🚗;Auto Mecanica (7/8);Transporte;16 out;312.5;expense;Banco do brasil;2026-04-16 13:56:24.11459+00;2026-04-16 13:56:24.11459+00;;1;1;
5653a11c-8d48-4b4c-8227-e285f4badaaa;🚗;Auto Mecanica (8/8);Transporte;16 nov;312.5;expense;Banco do brasil;2026-04-16 13:56:24.11459+00;2026-04-16 13:56:24.11459+00;;1;1;
87020103-1536-44d9-b6d4-21a0ceb95651;💻;Freelance;Receita > Freelance;16 abr;3000;income;;2026-04-16 15:36:53.690225+00;2026-04-16 15:37:10.5231+00;5a520588-7df8-45fc-903e-19f884c8d154;1;1;
66e3b913-1de2-4a43-a954-61d424975f98;💼;Salário CLT;Receita > Salário;05 abr;6500;income;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
fae55e1d-4cc9-4682-bc31-635198c1308e;💻;Freelance Design;Receita > Freelance;12 abr;1800;income;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;5a520588-7df8-45fc-903e-19f884c8d154;1;1;
d9ea4c6f-2067-4794-b840-34cf007b168e;📈;Rendimento CDB;Receita > Rendimentos;01 abr;245.50;income;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
a93b7ed2-08b0-464d-9c1c-a698f9afdf02;🛒;Supermercado Tauste;Alimentação > Supermercado;03 abr;487.30;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
69d6db62-fca8-412a-b0a3-4f4b97498b97;🎡;Pagamento CartÃ£o de crÃ©dito;Lazer > Parques/Eventos;29/03/2026;289;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 22:55:36.255588+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
6cd57b99-8089-490e-8556-a2e25e057403;🎡;Pagamento CartÃ£o de crÃ©dito;Lazer > Parques/Eventos;04/03/2026;1133.78;expense;;2026-04-16 11:01:26.531066+00;2026-04-16 22:58:29.96572+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
b68b8d36-7064-4f00-b86a-996571fcee85;🛵;iFood - Almoço;Alimentação > Delivery;08 abr;45.90;expense;Nubank;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;;1;1;
c887939d-2728-42ac-b66f-939f3c8942c8;🍽️;Restaurante Outback;Alimentação > Restaurante;13 abr;178.50;expense;Nubank;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;;1;1;
41a87dc7-dc6c-452b-a23c-3b500813e2bf;☕;Padaria Esquina;Alimentação > Padaria/Café;02 abr;23.50;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
bf4e32a1-d71e-49af-b16a-fd4e84d38f25;🥩;Açougue Bom Corte;Alimentação > Açougue/Hortifruti;10 abr;156.40;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;5a520588-7df8-45fc-903e-19f884c8d154;1;1;
de024cae-f151-4b81-b5a3-e0506d90c312;🚕;Uber - Centro;Transporte > Uber/99;04 abr;28.50;expense;Nubank;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;;1;1;
90ec795e-a340-412c-87a0-96f3e492ca36;🚕;Uber - Aeroporto;Transporte > Uber/99;11 abr;67.30;expense;Nubank;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;;1;1;
0606be7e-4cc2-46e4-8b6d-a70ac3344bc6;🚕;99 - Trabalho;Transporte > Uber/99;14 abr;19.80;expense;Nubank;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;;1;1;
d3dfc790-eb94-4f05-be1c-5f85d1ef19c2;⛽;Combustível Shell;Transporte > Combustível;06 abr;320;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
75bd8dfc-08e5-4836-b3fc-a10069b66587;⛽;Combustível Ipiranga;Transporte > Combustível;14 abr;280;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
59cee007-012d-4b48-9763-775c7f183dc6;🔧;Ronaldo Romanoski - Mecânico;Transporte > Manutenção;09 abr;850;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;5a520588-7df8-45fc-903e-19f884c8d154;1;1;
105c24a1-6a54-480f-a4c2-299817029e44;🅿️;Estacionamento Shopping;Transporte > Estacionamento;13 abr;25;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
1fd6b98c-20d3-444e-956e-d24a2bdf2b63;🛣️;Pedágio Rodovia;Transporte > Pedágio;06 abr;18.50;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
a85ae40f-635a-4046-a2be-c869c24c8b5e;🏠;Aluguel Apto;Moradia > Aluguel;05 abr;2200;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
6934e408-94f9-48b1-be47-7ccc126c8338;🏢;Condomínio;Moradia > Condomínio;10 abr;580;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
d8a256c6-8534-4e65-a4a7-9f83e2f177ed;⚡;Conta de Luz - Enel;Moradia > Energia;08 abr;245.80;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;f191fcfd-8e8e-4424-99c6-26a4ac01c944;1;1;
68e8d5c7-ed97-4e4e-bab8-7f199ee8748d;💧;Conta de Água - Sabesp;Moradia > Água;12 abr;89.50;expense;;2026-04-16 18:56:12.259379+00;2026-04-16 18:56:12.259379+00;5a520588-7df8-45fc-903e-19f884c8d154;1;1;
